Ano,mes_nome,mes_num,taxa
1981,Jan,1,6.82
1982,Jan,1,8.32
1983,Jan,1,10.45
1984,Jan,1,10.14
1985,Jan,1,14.61
1986,Jan,1,16.23
1987,Jan,1,13.21
1988,Jan,1,18.89
1989,Jan,1,37.49
1990,Jan,1,67.55
1991,Jan,1,20.75
1992,Jan,1,25.94
1993,Jan,1,30.35
1994,Jan,1,41.31
1995,Jan,1,1.7
1996,Jan,1,1.34
1997,Jan,1,1.18
1998,Jan,1,0.71
1999,Jan,1,0.7
2000,Jan,1,0.62
2001,Jan,1,0.57
2002,Jan,1,0.52
2003,Jan,1,2.25
2004,Jan,1,0.76
2005,Jan,1,0.58
2006,Jan,1,0.59
2007,Jan,1,0.44
2008,Jan,1,0.54
2009,Jan,1,0.48
2010,Jan,1,0.75
2011,Jan,1,0.83
2012,Jan,1,0.56
2013,Jan,1,0.86
2014,Jan,1,0.55
2015,Jan,1,1.24
2016,Jan,1,1.27
2017,Jan,1,0.38
2018,Jan,1,0.29
2019,Jan,1,0.32
2020,Jan,1,0.21
2021,Jan,1,0.25
2022,Jan,1,0.54
2023,Jan,1,0.53
2024,Jan,1,0.42
1981,Fev,2,6.15
1982,Fev,2,6.14
1983,Fev,2,6.06
1984,Fev,2,9.1
1985,Fev,2,8.95
1986,Fev,2,14.36
1987,Fev,2,12.64
1988,Fev,2,15.7
1989,Fev,2,16.78
1990,Fev,2,75.73
1991,Fev,2,20.72
1992,Fev,2,24.32
1993,Fev,2,24.98
1994,Fev,2,40.27
1995,Fev,2,1.02
1996,Fev,2,1.03
1997,Fev,2,0.5
1998,Fev,2,0.46
1999,Fev,2,1.05
2000,Fev,2,0.13
2001,Fev,2,0.46
2002,Fev,2,0.36
2003,Fev,2,1.57
2004,Fev,2,0.61
2005,Fev,2,0.59
2006,Fev,2,0.41
2007,Fev,2,0.44
2008,Fev,2,0.49
2009,Fev,2,0.55
2010,Fev,2,0.78
2011,Fev,2,0.8
2012,Fev,2,0.45
2013,Fev,2,0.6
2014,Fev,2,0.69
2015,Fev,2,1.22
2016,Fev,2,0.9
2017,Fev,2,0.33
2018,Fev,2,0.32
2019,Fev,2,0.43
2020,Fev,2,0.25
2021,Fev,2,0.86
2022,Fev,2,1.01
2023,Fev,2,0.84
2024,Fev,2,0.83
1981,Mar,3,5.1
1982,Mar,3,6.36
1983,Mar,3,8.54
1984,Mar,3,8.98
1985,Mar,3,12.78
1986,Mar,3,-0.11
1987,Mar,3,16.37
1988,Mar,3,17.6
1989,Mar,3,6.82
1990,Mar,3,82.39
1991,Mar,3,11.92
1992,Mar,3,21.4
1993,Mar,3,27.26
1994,Mar,3,42.75
1995,Mar,3,1.55
1996,Mar,3,0.35
1997,Mar,3,0.51
1998,Mar,3,0.34
1999,Mar,3,1.1
2000,Mar,3,0.22
2001,Mar,3,0.38
2002,Mar,3,0.6
2003,Mar,3,1.23
2004,Mar,3,0.47
2005,Mar,3,0.61
2006,Mar,3,0.43
2007,Mar,3,0.37
2008,Mar,3,0.48
2009,Mar,3,0.2
2010,Mar,3,0.52
2011,Mar,3,0.79
2012,Mar,3,0.21
2013,Mar,3,0.47
2014,Mar,3,0.92
2015,Mar,3,1.32
2016,Mar,3,0.43
2017,Mar,3,0.25
2018,Mar,3,0.09
2019,Mar,3,0.75
2020,Mar,3,0.07
2021,Mar,3,0.93
2022,Mar,3,1.62
2023,Mar,3,0.71
2024,Mar,3,0.16
1981,Abr,4,5.04
1982,Abr,4,5.18
1983,Abr,4,7.8
1984,Abr,4,9.23
1985,Abr,4,8.8
1986,Abr,4,0.78
1987,Abr,4,19.1
1988,Abr,4,19.29
1989,Abr,4,8.33
1990,Abr,4,15.52
1991,Abr,4,4.99
1992,Abr,4,19.93
1993,Abr,4,27.75
1994,Abr,4,42.68
1995,Abr,4,2.43
1996,Abr,4,1.26
1997,Abr,4,0.88
1998,Abr,4,0.24
1999,Abr,4,0.56
2000,Abr,4,0.42
2001,Abr,4,0.58
2002,Abr,4,0.8
2003,Abr,4,0.97
2004,Abr,4,0.37
2005,Abr,4,0.87
2006,Abr,4,0.21
2007,Abr,4,0.25
2008,Abr,4,0.55
2009,Abr,4,0.48
2010,Abr,4,0.57
2011,Abr,4,0.77
2012,Abr,4,0.64
2013,Abr,4,0.55
2014,Abr,4,0.67
2015,Abr,4,0.71
2016,Abr,4,0.61
2017,Abr,4,0.14
2018,Abr,4,0.22
2019,Abr,4,0.57
2020,Abr,4,-0.31
2021,Abr,4,0.31
2022,Abr,4,1.06
2023,Abr,4,0.61
2024,Abr,4,0.38
1981,Mai,5,7.39
1982,Mai,5,6.46
1983,Mai,5,5.57
1984,Mai,5,9.88
1985,Mai,5,6.76
1986,Mai,5,1.4
1987,Mai,5,21.45
1988,Mai,5,17.42
1989,Mai,5,17.92
1990,Mai,5,7.59
1991,Mai,5,7.43
1992,Mai,5,24.86
1993,Mai,5,27.69
1994,Mai,5,44.03
1995,Mai,5,2.67
1996,Mai,5,1.22
1997,Mai,5,0.41
1998,Mai,5,0.5
1999,Mai,5,0.3
2000,Mai,5,0.01
2001,Mai,5,0.41
2002,Mai,5,0.21
2003,Mai,5,0.61
2004,Mai,5,0.51
2005,Mai,5,0.49
2006,Mai,5,0.1
2007,Mai,5,0.28
2008,Mai,5,0.79
2009,Mai,5,0.47
2010,Mai,5,0.43
2011,Mai,5,0.47
2012,Mai,5,0.36
2013,Mai,5,0.37
2014,Mai,5,0.46
2015,Mai,5,0.74
2016,Mai,5,0.78
2017,Mai,5,0.31
2018,Mai,5,0.4
2019,Mai,5,0.13
2020,Mai,5,-0.38
2021,Mai,5,0.83
2022,Mai,5,0.47
2023,Mai,5,0.23
2024,Mai,5,0.46
1981,Jun,6,3.97
1982,Jun,6,7.38
1983,Jun,6,7.87
1984,Jun,6,8.14
1985,Jun,6,7.71
1986,Jun,6,1.27
1987,Jun,6,19.71
1988,Jun,6,22.0
1989,Jun,6,28.65
1990,Jun,6,11.75
1991,Jun,6,11.19
1992,Jun,6,20.21
1993,Jun,6,30.07
1994,Jun,6,47.43
1995,Jun,6,2.26
1996,Jun,6,1.19
1997,Jun,6,0.54
1998,Jun,6,0.02
1999,Jun,6,0.19
2000,Jun,6,0.23
2001,Jun,6,0.52
2002,Jun,6,0.42
2003,Jun,6,-0.15
2004,Jun,6,0.71
2005,Jun,6,-0.02
2006,Jun,6,-0.21
2007,Jun,6,0.28
2008,Jun,6,0.74
2009,Jun,6,0.36
2010,Jun,6,0.0
2011,Jun,6,0.15
2012,Jun,6,0.08
2013,Jun,6,0.26
2014,Jun,6,0.4
2015,Jun,6,0.79
2016,Jun,6,0.35
2017,Jun,6,-0.23
2018,Jun,6,1.26
2019,Jun,6,0.01
2020,Jun,6,0.26
